﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,รวม,รวม,105796901.5,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,1 - 15 คน,10052768.04,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,16 - 25 คน,3473285.59,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,26 - 30 คน,2130102.76,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,31 - 50 คน,7085439.53,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,51 - 200 คน,35947058.82,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,รวม,มากกว่า 200 คน,47108246.76,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,รวม,39391602.32,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,1 - 15 คน,2518136.78,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,16 - 25 คน,1191368.87,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,26 - 30 คน,673257.99,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,31 - 50 คน,2659873.64,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,51 - 200 คน,15088283.83,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซื้อสินค้าประเภทอาหารและเครื่องดื่ม,มากกว่า 200 คน,17260681.21,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,รวม,13139084.99,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,1 - 15 คน,2712423.15,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,16 - 25 คน,656125.33,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,26 - 30 คน,400722.5,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,31 - 50 คน,923681.91,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,51 - 200 คน,4800929.06,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไฟฟ้า,มากกว่า 200 คน,3645203.03,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,รวม,2173281,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,1 - 15 คน,510903.23,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,16 - 25 คน,150991.19,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,26 - 30 คน,73044.84,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,31 - 50 คน,170355.68,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,51 - 200 คน,664782.78,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำประปา,มากกว่า 200 คน,603203.28,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าก๊าซ,รวม,1487521.07,พันบาท,สำนักงานสถิติแห่งชาติ
